"protein","entry_name","description","gene_names","family","expression_tissue"
"Q15622","OR7A5_HUMAN","Olfactory receptor 7A5","OR7A5","TM(GPCR)",NA
"Q15722","LT4R1_HUMAN","Leukotriene B4 receptor 1","LTB4R BLT BLT1 BLTR CMKRL1 GPR16 P2RY7","TM(GPCR)",NA
"Q15758","AAAT_HUMAN","Neutral amino acid transporter B","SLC1A5 ASCT2 M7V1 RDR RDRC","TM",NA
"Q15849","UT2_HUMAN","Urea transporter 2","SLC14A2 HUT2 UT2","TM",NA
"Q15878","CAC1E_HUMAN","Voltage-dependent R-type calcium channel subunit alpha-1E","CACNA1E CACH6 CACNL1A6","TM(IC)",NA
"Q15884","EREP1_HUMAN","Endosomal transmembrane epsin interactor 1","ENTREP1 C9orf61 FAM189A2 X123","TM",NA
"Q16099","GRIK4_HUMAN","Glutamate receptor ionotropic, kainate 4","GRIK4 GRIK","TM(IC)",NA
"Q16281","CNGA3_HUMAN","Cyclic nucleotide-gated channel alpha-3","CNGA3 CNCG3","TM(IC)",NA
"Q16322","KCA10_HUMAN","Potassium voltage-gated channel subfamily A member 10","KCNA10","TM(IC)",NA
"Q16348","S15A2_HUMAN","Solute carrier family 15 member 2/peptide cotransporter","SLC15A2 PEPT2","TM",NA
"Q16445","GBRA6_HUMAN","Gamma-aminobutyric acid receptor subunit alpha-6 receptor subunit alpha-6","GABRA6","TM(IC)",NA
"Q16478","GRIK5_HUMAN","Glutamate receptor ionotropic, kainate 5","GRIK5 GRIK2","TM(IC)",NA
"Q16558","KCMB1_HUMAN","Calcium-activated potassium channel subunit beta-1beta-1","KCNMB1","TM(IC)",NA
"Q16570","ACKR1_HUMAN","Atypical chemokine receptor 1","ACKR1 DARC FY GPD","TM(GPCR)",NA
"Q16572","VACHT_HUMAN","Vesicular acetylcholine transporter","SLC18A3 VACHT","TM",NA
"Q16617","NKG7_HUMAN","Protein NKG7","NKG7 GIG1","TM",NA
"Q16651","PRSS8_HUMAN","Prostasin","PRSS8","TM",NA
"Q16653","MOG_HUMAN","Myelin-oligodendrocyte glycoprotein","MOG","TM",NA
"Q16655","MAR1_HUMAN","Melanoma antigen recognized by T-cells 1","MLANA MART1","TM",NA
"Q16671","AMHR2_HUMAN","Anti-Muellerian hormone type-2 receptor","AMHR2 AMHR MISR2","TM",NA
"Q16720","AT2B3_HUMAN","Plasma membrane calcium-transporting ATPase 3","ATP2B3","TM",NA
"Q16819","MEP1A_HUMAN","Meprin A subunit alpha","MEP1A","TM",NA
"Q16849","PTPRN_HUMAN","Receptor-type tyrosine-protein phosphatase-like N","PTPRN ICA3 ICA512","TM",NA
"Q17R55","F187B_HUMAN","Protein FAM187B","FAM187B TMEM162","TM",NA
"Q19T08","ECSCR_HUMAN","Endothelial cell-specific chemotaxis regulator","ECSCR ECSM2","TM",NA
"Q24JQ0","TM241_HUMAN","UDP-N-acetylglucosamine transporter TMEM241","TMEM241 C18orf45","TM",NA
"Q29980","MICB_HUMAN","MHC class I polypeptide-related sequence B","MICB PERB11.2","TM",NA
"Q29983","MICA_HUMAN","MHC class I polypeptide-related sequence A","MICA PERB11.1","TM",NA
"Q2HXU8","CL12B_HUMAN","C-type lectin domain family 12 member B","CLEC12B UNQ5782/PRO16089","TM",NA
"Q2M2E3","ODFP4_HUMAN","Outer dense fiber protein 4","ODF4 OPPO1","TM",NA
"Q2M3C6","TM266_HUMAN","Transmembrane protein 266","TMEM266 C15orf27 HVRP1","TM",NA
"Q2M3G0","ABCB5_HUMAN","ATP-binding cassette sub-family B member 5","ABCB5","TM",NA
"Q2M3T9","HYAL4_HUMAN","Hyaluronidase-4","HYAL4","TM",NA
"Q2T9K0","TMM44_HUMAN","Transmembrane protein 44","TMEM44","TM",NA
"Q2VWP7","PRTG_HUMAN","Protogenin","PRTG","TM",NA
"Q30154","DRB5_HUMAN","HLA class II histocompatibility antigen, DR beta 5 chain","HLA-DRB5","TM",NA
"Q32M45","ANO4_HUMAN","Anoctamin-4","ANO4 TMEM16D","TM",NA
"Q3B7S5","SMI21_HUMAN","Small integral membrane protein 21","SMIM21 C18orf62","TM",NA
"Q3KNS1","PTHD3_HUMAN","Patched domain-containing protein 3","PTCHD3 PTR","TM",NA
"Q3KNT9","TMM95_HUMAN","Sperm-egg fusion protein TMEM95","TMEM95 UNQ9390/PRO34281","TM",NA
"Q3KPI0","CEA21_HUMAN","Cell adhesion molecule CEACAM21","CEACAM21 UNQ3098/PRO10075","TM",NA
"Q3MIW9","MUCL3_HUMAN","Mucin-like protein 3","MUCL3 C6orf37 DPCR1 PBLT","TM",NA
"Q3MIX3","ADCK5_HUMAN","Uncharacterized aarF domain-containing protein kinase 5","ADCK5","TM",NA
"Q3MUY2","PIGY_HUMAN","Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y","PIGY","TM",NA
"Q3SXP7","SHSL1_HUMAN","Protein shisa-like-1","SHISAL1 KIAA1644","TM",NA
"Q3SXY7","LRIT3_HUMAN","Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 3","LRIT3","TM",NA
"Q3SY17","S2552_HUMAN","Mitochondrial nicotinamide adenine dinucleotide transporter SLC25A52 transporter SLC25A52","SLC25A52 MCART2","TM",NA
"Q3SY77","UD3A2_HUMAN","UDP-glucuronosyltransferase 3A2","UGT3A2 PSEC0073 UNQ842/PRO1780","TM",NA
"Q401N2","ZACN_HUMAN","Ligand-gated cation channel ZACN","ZACN L2 LGICZ LGICZ1 ZAC","TM(IC)",NA
"Q494W8","CRFM7_HUMAN","CHRNA7-FAM7A fusion protein","CHRFAM7A","TM",NA
"Q495A1","TIGIT_HUMAN","T-cell immunoreceptor with Ig and ITIM domains","TIGIT VSIG9 VSTM3","TM",NA
"Q496F6","CLM2_HUMAN","CMRF35-like molecule 2","CD300E CD300LE CLM2 CMRF35A5 IREM2","TM",NA
"Q4G1C9","GRPL2_HUMAN","GLIPR1-like protein 2","GLIPR1L2","TM",NA
"Q4KMG9","TM52B_HUMAN","Transmembrane protein 52B","TMEM52B C12orf59 UNQ5927/PRO19821","TM",NA
"Q4KMZ8","NKAI1_HUMAN","Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 1/K-transporting ATPase subunit beta-1-interacting protein 1","NKAIN1 FAM77C","TM",NA
"Q4KN05","Q4KN05_HUMAN","KLRF1 protein","KLRF1","TM",NA
"Q4LDR2","CTXN3_HUMAN","Cortexin-3","CTXN3 KABE","TM",NA
"Q4VC39","HIG2B_HUMAN","HIG1 domain family member 2B","HIGD2B HIGD2BP","TM",NA
"Q4W5P6","SIM43_HUMAN","Small integral membrane protein 43","SMIM43 TMEM155","TM",NA
"Q4ZG55","GREB1_HUMAN","Protein GREB1","GREB1 KIAA0575","TM",NA
"Q4ZJI4","SL9B1_HUMAN","Sodium/hydrogen exchanger 9B1/H exchanger-like domain-containing protein 1","SLC9B1 NHA1 NHEDC1","TM",NA
"Q504Y0","S39AC_HUMAN","Zinc transporter ZIP12","SLC39A12 ZIP12","TM",NA
"Q53EL9","SEZ6_HUMAN","Seizure protein 6 homolog","SEZ6","TM",NA
"Q53EP0","FND3B_HUMAN","Fibronectin type III domain-containing protein 3B","FNDC3B FAD104 NS5ABP37 UNQ2421/PRO4979/PRO34274","TM",NA
"Q53HI1","UNC50_HUMAN","Protein unc-50 homolog","UNC50 UNCL HSD-23 HSD23","TM",NA
"Q53RT3","APRV1_HUMAN","Retroviral-like aspartic protease 1","ASPRV1 SASP","TM",NA
"Q53YP1","Q53YP1_HUMAN","HLA class I histocompatibility antigen C alpha chain","HLA-C","TM",NA
"Q58DX5","NADL2_HUMAN","Inactive N-acetylated-alpha-linked acidic dipeptidase-like protein 2","NAALADL2","TM",NA
"Q5BKT4","AG10A_HUMAN","Dol-P-Glc:GlcManGlcNAc-PP-Dol alpha-1,2-glucosyltransferase","ALG10 ALG10A","TM",NA
"Q5BVD1","TTMP_HUMAN","TPA-induced transmembrane protein","TTMP C3orf52","TM",NA
"Q5DID0","UROL1_HUMAN","Uromodulin-like 1","UMODL1","TM",NA
"Q5GH73","XKR6_HUMAN","XK-related protein 6","XKR6 C8orf21 C8orf5 C8orf7 XRG6","TM",NA
"Q5GH77","XKR3_HUMAN","XK-related protein 3","XKR3 XRG3","TM",NA
"Q5H8A4","PIGG_HUMAN","GPI ethanolamine phosphate transferase 2, catalytic subunit","PIGG GPI7 UNQ1930/PRO4405","TM",NA
"Q5H9R4","ARMX4_HUMAN","Armadillo repeat-containing X-linked protein 4","ARMCX4","TM",NA
"Q5H9S7","DCA17_HUMAN","DDB1- and CUL4-associated factor 17","DCAF17 C2orf37","TM",NA
"Q5HYA8","MKS3_HUMAN","Meckelin","TMEM67 MKS3","TM",NA
"Q5HYL7","TM196_HUMAN","Transmembrane protein 196","TMEM196","TM",NA
"Q5I7T1","AG10B_HUMAN","Dol-P-Glc:GlcManGlcNAc-PP-Dol alpha-1,2-glucosyltransferase","ALG10B KCR1","TM",NA
"Q5J8X5","M4A13_HUMAN","Membrane-spanning 4-domains subfamily A member 13","MS4A13","TM",NA
"Q5JPE7","NOMO2_HUMAN","BOS complex subunit NOMO2","NOMO2","TM",NA
"Q5JRA6","TGO1_HUMAN","Transport and Golgi organization protein 1 homolog","MIA3 KIAA0268 TANGO UNQ6077/PRO20088","TM",NA
"Q5JRM2","CX066_HUMAN","Uncharacterized protein CXorf66","CXorf66","TM",NA
"Q5JSD2","Q5JSD2_HUMAN","Non-selective voltage-gated ion channel VDAC2","VDAC2","TM",NA
"Q5JW98","CAHM4_HUMAN","Calcium homeostasis modulator protein 4","CALHM4 C6orf78 FAM26D UNQ6481/PRO21277","TM(IC)",NA
"Q5JX71","F209A_HUMAN","Protein FAM209A","FAM209A C20orf106","TM",NA
"Q5JXX7","TMM31_HUMAN","Transmembrane protein 31","TMEM31","TM",NA
"Q5JZY3","EPHAA_HUMAN","Ephrin type-A receptor 10","EPHA10","TM(RTK)",NA
"Q5K4L6","S27A3_HUMAN","Long-chain fatty acid transport protein 3","SLC27A3 ACSVL3 FATP3 PSEC0067 UNQ367/PRO703","TM",NA
"Q5QGZ9","CL12A_HUMAN","C-type lectin domain family 12 member A","CLEC12A CLL1 DCAL2 KLRL1 MICL","TM",NA
"Q5QNZ2","Q5QNZ2_HUMAN","ATP synthase subunit b","ATP5PB","TM",NA
"Q5QT33","Q5QT33_HUMAN","HLA class I antigen","HLA-C HLAC","TM",NA
"Q5RIP0","Q5RIP0_HUMAN","HLA class I histocompatibility antigen C alpha chain","HLA-C HLA-Cw","TM",NA
"Q5RJ85","Q5RJ85_HUMAN","HLA-G histocompatibility antigen, class I, G, isoform CRA_b","HLA-G hCG_1999524","TM",NA
"Q5SQ64","LY66F_HUMAN","Lymphocyte antigen 6 complex locus protein G6f","LY6G6F C6orf21 G6F LY6G6D NG32","TM",NA
"Q5SR05","Q5SR05_HUMAN","Major histocompatibility complex, class II, DQ beta 2","HLA-DQB2","TM",NA
"Q5SRD1","TI23B_HUMAN","Mitochondrial import inner membrane translocase subunit Tim23B","TIMM23B","TM",NA
"Q5SU54","Q5SU54_HUMAN","MHC class II antigen","HLA-DQB1","TM",NA
"Q5SUL5","Q5SUL5_HUMAN","HLA class I histocompatibility antigen A alpha chain","HLA-A","TM",NA
"Q5SWH9","TMM69_HUMAN","Transmembrane protein 69","TMEM69 C1orf154 HSPC229","TM",NA
"Q5SZE2","Q5SZE2_HUMAN","Ceramide synthase 2","CERS2","TM",NA
"Q5SZI1","LRAD2_HUMAN","Low-density lipoprotein receptor class A domain-containing protein 2","LDLRAD2","TM",NA
"Q5T1Q4","S35F1_HUMAN","Solute carrier family 35 member F1","SLC35F1 C6orf169","TM",NA
"Q5T2D2","TRML2_HUMAN","Trem-like transcript 2 protein","TREML2 C6orf76 TLT2 UNQ6268/PRO20473","TM",NA
"Q5T700","LRAD1_HUMAN","Low-density lipoprotein receptor class A domain-containing protein 1","LDLRAD1","TM",NA
"Q5TAT6","CODA1_HUMAN","Collagen alpha-1 chain","COL13A1","TM",NA
"Q5TB53","Q5TB53_HUMAN","Transmembrane 9 superfamily member","TM9SF3","TM",NA
"Q5TEA6","SE1L2_HUMAN","Protein sel-1 homolog 2","SEL1L2 C20orf50","TM",NA
"Q5TF39","MFS4B_HUMAN","Sodium-dependent glucose transporter 1","MFSD4B KIAA1919 NAGLT1 HSPC100","TM",NA
"Q5TFQ8","SIRBL_HUMAN","Signal-regulatory protein beta-1 isoform 3","SIRPB1","TM",NA
"Q5TGU0","TSPO2_HUMAN","Translocator protein 2","TSPO2 BZRPL1","TM",NA
"Q5TIH2","Q5TIH2_HUMAN","Vesicle transport protein","SFT2D2","TM",NA
"Q5TZ20","OR2G6_HUMAN","Olfactory receptor 2G6","OR2G6","TM(GPCR)",NA
"Q5U4P2","ASPH1_HUMAN","Aspartate beta-hydroxylase domain-containing protein 1","ASPHD1","TM",NA
"Q5VUB5","F1711_HUMAN","Protein FAM171A1","FAM171A1 APCN C10orf38","TM",NA
"Q5VVP1","S31A6_HUMAN","Spermatogenesis-associated protein 31A6","SPATA31A6 FAM75A6","TM",NA
"Q5VWH6","Q5VWH6_HUMAN","Protein tyrosine phosphatase receptor type E","PTPRE","TM",NA
"Q5VWK5","IL23R_HUMAN","Interleukin-23 receptor","IL23R","TM",NA
"Q5VYH9","Q5VYH9_HUMAN","Lymphocyte antigen 9","LY9","TM",NA
"Q63HM2","PCX4_HUMAN","Pecanex-like protein 4","PCNX4 C14orf135 FBP2 PCNXL4","TM",NA
"Q658P3","STEA3_HUMAN","Metalloreductase STEAP3","STEAP3 TSAP6","TM",NA
"Q674R7","ATG9B_HUMAN","Autophagy-related protein 9B","ATG9B APG9L2 NOS3AS","TM",NA
"Q68CJ9","CR3L3_HUMAN","Cyclic AMP-responsive element-binding protein 3-like protein 3","CREB3L3 CREBH HYST1481","TM",NA
"Q68CR7","LRC66_HUMAN","Leucine-rich repeat-containing protein 66","LRRC66","TM",NA
"Q68D85","NR3L1_HUMAN","Natural cytotoxicity triggering receptor 3 ligand 1","NCR3LG1 B7H6","TM",NA
"Q68DV7","RNF43_HUMAN","E3 ubiquitin-protein ligase RNF43","RNF43","TM",NA
"Q68G75","LEMD1_HUMAN","LEM domain-containing protein 1","LEMD1","TM",NA
"Q69YU5","UQCC6_HUMAN","Ubiquinol-cytochrome c reductase complex assembly factor 6","UQCC6 BR BRAWNIN C12orf73","TM",NA
"Q6DKI7","PVRIG_HUMAN","Transmembrane protein PVRIG","PVRIG C7orf15","TM",NA
"Q6DN72","FCRL6_HUMAN","Fc receptor-like protein 6","FCRL6 FCRH6","TM",NA
"Q6GMR7","FAAH2_HUMAN","Fatty-acid amide hydrolase 2","FAAH2 AMDD","TM",NA
"Q6GTX8","LAIR1_HUMAN","Leukocyte-associated immunoglobulin-like receptor 1","LAIR1 CD305","TM",NA
"Q6H3X3","ULBP5_HUMAN","UL-16 binding protein 5","RAET1G ULBP5","TM",NA
"Q6IF42","OR2A2_HUMAN","Olfactory receptor 2A2","OR2A2 OR2A17P OR2A2P","TM(GPCR)",NA
"Q6ISU1","PTCRA_HUMAN","Pre T-cell antigen receptor alpha","PTCRA","TM",NA
"Q6NT16","S18B1_HUMAN","MFS-type transporter SLC18B1","SLC18B1 C6orf192","TM",NA
"Q6NT55","CP4FN_HUMAN","Ultra-long-chain fatty acid omega-hydroxylase","CYP4F22","TM",NA
"Q6NUJ2","CK087_HUMAN","Uncharacterized protein C11orf87","C11orf87","TM",NA
"Q6NUS8","UD3A1_HUMAN","UDP-glucuronosyltransferase 3A1","UGT3A1","TM",NA
"Q6NZ63","STEAL_HUMAN","STEAP family member 1B","STEAP1B","TM",NA
"Q6P179","ERAP2_HUMAN","Endoplasmic reticulum aminopeptidase 2","ERAP2 LRAP","TM",NA
"Q6P4D7","Q6P4D7_HUMAN","TM6SF1 protein","TM6SF1","TM",NA
"Q6P5T0","Q6P5T0_HUMAN","AQP7 protein","AQP7 hCG_2011318","TM",NA
"Q6P5X7","TMM71_HUMAN","Transmembrane protein 71","TMEM71","TM",NA
"Q6P7N7","TMM81_HUMAN","Transmembrane protein 81","TMEM81 UNQ2788/PRO7178","TM",NA
"Q6PEY0","CXB7_HUMAN","Gap junction beta-7 protein","GJB7 CX25","TM",NA
"Q6PI25","CNIH2_HUMAN","Protein cornichon homolog 2","CNIH2 CNIL","TM",NA
"Q6PI73","LIRA6_HUMAN","Leukocyte immunoglobulin-like receptor subfamily A member 6","LILRA6 ILT8","TM",NA
"Q6PIS1","S23A3_HUMAN","Solute carrier family 23 member 3/L-ascorbic acid transporter 3","SLC23A3 E2BP3 SVCT3","TM",NA
"Q6PIZ9","TRAT1_HUMAN","T-cell receptor-associated transmembrane adapter 1","TRAT1 TCRIM HSPC062","TM",NA
"Q6PJ65","Q6PJ65_HUMAN","TSPAN10 protein","TSPAN10","TM",NA
"Q6PL45","BRID5_HUMAN","BRICHOS domain-containing protein 5","BRICD5 C16orf79","TM",NA
"Q6PRD1","GP179_HUMAN","Probable G-protein coupled receptor 179","GPR179 GPR158L GPR158L1","TM(GPCR)",NA
"Q6T4P5","PLPR3_HUMAN","Phospholipid phosphatase-related protein type 3","PLPPR3 LPPR3 PHP2 PRG2","TM",NA
"Q6UE05","TM270_HUMAN","Transmembrane protein 270","TMEM270 WBSCR28","TM",NA
"Q6UVM3","KCNT2_HUMAN","Potassium channel subfamily T member 2","KCNT2 SLICK Slo2.1","TM(IC)",NA
"Q6UVW9","CLC2A_HUMAN","C-type lectin domain family 2 member A","CLEC2A KACL UNQ5792/PRO19597","TM",NA
"Q6UW60","PCSK4_HUMAN","Proprotein convertase subtilisin/kexin type 4","PCSK4 PC4 UNQ2757/PRO6496","TM",NA
"Q6UW88","EPGN_HUMAN","Epigen","EPGN UNQ3072/PRO9904","TM",NA
"Q6UWL2","SUSD1_HUMAN","Sushi domain-containing protein 1","SUSD1 UNQ2438/PRO4999","TM",NA
"Q6UWM9","UD2A3_HUMAN","UDP-glucuronosyltransferase 2A3","UGT2A3 UNQ2559/PRO6239","TM",NA
"Q6UWV6","ENPP7_HUMAN","Ectonucleotide pyrophosphatase/phosphodiesterase family member 7","ENPP7 UNQ3077/PRO9912","TM",NA
"Q6UWV7","SHL2A_HUMAN","Protein shisa-like-2A","SHISAL2A FAM159A UNQ2783/PRO7171","TM",NA
"Q6UWW9","TM207_HUMAN","Transmembrane protein 207","TMEM207 UNQ846/PRO1784","TM",NA
"Q6UX27","VSTM1_HUMAN","V-set and transmembrane domain-containing protein 1","VSTM1 UNQ3033/PRO9835","TM",NA
"Q6UX34","SNORC_HUMAN","Protein SNORC","SNORC C2orf82 UNQ830/PRO1757","TM",NA
"Q6UX41","BTNL8_HUMAN","Butyrophilin-like protein 8","BTNL8 UNQ702/PRO1347","TM",NA
"Q6UXC1","AEGP_HUMAN","Apical endosomal glycoprotein","MAMDC4 AEGP UNQ3001/PRO9742","TM",NA
"Q6UXD1","HRCT1_HUMAN","Histidine-rich carboxyl terminus protein 1","HRCT1 UNQ338/PRO537","TM",NA
"Q6UXE8","BTNL3_HUMAN","Butyrophilin-like protein 3","BTNL3 BTNLR COLF4100 UNQ744/PRO1472","TM",NA
"Q6UXG3","CLM9_HUMAN","CMRF35-like molecule 9","CD300LG CLM9 TREM4 UNQ422/PRO846","TM",NA
"Q6UXL0","I20RB_HUMAN","Interleukin-20 receptor subunit beta","IL20RB DIRS1 UNQ557/PRO1114","TM",NA
"Q6UXU4","GSG1L_HUMAN","Germ cell-specific gene 1-like protein","GSG1L UNQ5831/PRO19651","TM",NA
"Q6UXU6","TMM92_HUMAN","Transmembrane protein 92","TMEM92 UNQ5801/PRO19608","TM",NA
"Q6UXV0","GFRAL_HUMAN","GDNF family receptor alpha-like","GFRAL C6orf144 UNQ9356/PRO34128","TM",NA
"Q6UXZ3","CLM5_HUMAN","CMRF35-like molecule 5","CD300LD CD300D CMRF35A4 UNQ9218/PRO28686","TM",NA
"Q6UXZ4","UNC5D_HUMAN","Netrin receptor UNC5D","UNC5D KIAA1777 UNC5H4 UNQ6012/PRO34692","TM",NA
"Q6UY11","DLK2_HUMAN","Protein delta homolog 2","DLK2 EGFL9 UNQ2903/PRO28633","TM",NA
"Q6W5P4","NPSR1_HUMAN","Neuropeptide S receptor","NPSR1 GPR154 GPRA PGR14","TM(GPCR)",NA
"Q6XPS3","TPTE2_HUMAN","Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase TPTE2","TPTE2 TPIP","TM",NA
"Q6ZMD2","SPNS3_HUMAN","Protein spinster homolog 3","SPNS3","TM",NA
"Q6ZMQ8","LMTK1_HUMAN","Serine/threonine-protein kinase LMTK1","AATK AATYK KIAA0641 LMR1 LMTK1","TM",NA
"Q6ZMR5","TM11A_HUMAN","Transmembrane protease serine 11A","TMPRSS11A ECRG1 HATL1 HESP","TM",NA
"Q6ZNB6","NFXL1_HUMAN","NF-X1-type zinc finger protein NFXL1","NFXL1 OZFP","TM",NA
"Q6ZNR0","TMM91_HUMAN","Transmembrane protein 91","TMEM91","TM",NA
"Q6ZPD8","DG2L6_HUMAN","Diacylglycerol O-acyltransferase 2-like protein 6","DGAT2L6 DC3","TM",NA
"Q6ZRR5","TLCD5_HUMAN","TLC domain-containing protein 5","TLCD5 TMEM136","TM",NA
"Q6ZS10","CL17A_HUMAN","C-type lectin domain family 17, member A","CLEC17A","TM",NA
"Q6ZSA7","LRC55_HUMAN","Leucine-rich repeat-containing protein 55","LRRC55","TM(IC)",NA
"Q6ZT21","TMPPE_HUMAN","Transmembrane protein with metallophosphoesterase domain","TMPPE","TM",NA
"Q6ZTQ4","CDHR3_HUMAN","Cadherin-related family member 3","CDHR3 CDH28","TM",NA
"Q6ZWK4","RHEX_HUMAN","Regulator of hemoglobinization and erythroid cell expansion protein","RHEX C1orf186","TM",NA
"Q6ZWK6","TM11F_HUMAN","Transmembrane protease serine 11F","TMPRSS11F HATL4","TM",NA
"Q6ZXV5","TMTC3_HUMAN","Protein O-mannosyl-transferase TMTC3","TMTC3","TM",NA
"Q70Z44","5HT3D_HUMAN","5-hydroxytryptamine receptor 3D","HTR3D","TM(IC)",NA
"Q71RS6","NCKX5_HUMAN","Sodium/potassium/calcium exchanger 5/K/Ca-exchange protein 5","SLC24A5 JSX NCKX5","TM",NA
"Q7KYR7","BT2A1_HUMAN","Butyrophilin subfamily 2 member A1","BTN2A1 BT2.1 BTF1","TM",NA
"Q7L1S5","CHST9_HUMAN","Carbohydrate sulfotransferase 9","CHST9 UNQ2549/PRO6175","TM",NA
"Q7L985","LIGO2_HUMAN","Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2","LINGO2 LERN3 LRRN6C UNQ9234/PRO31993","TM",NA
"Q7LBE3","S26A9_HUMAN","Solute carrier family 26 member 9","SLC26A9","TM",NA
"Q7RTR8","T2R42_HUMAN","Taste receptor type 2 member 42","TAS2R42 TAS2R55","TM(GPCR)",NA
"Q7RTS6","OTOP2_HUMAN","Proton channel OTOP2","OTOP2","TM(IC)",NA
"Q7RTX0","TS1R3_HUMAN","Taste receptor type 1 member 3","TAS1R3 T1R3 TR3","TM(GPCR)",NA
"Q7RTX1","TS1R1_HUMAN","Taste receptor type 1 member 1","TAS1R1 GPR70 T1R1 TR1 GM148","TM(GPCR)",NA
"Q7RTX7","CTSR4_HUMAN","Cation channel sperm-associated protein 4","CATSPER4","TM(IC)",NA
"Q7Z2W7","TRPM8_HUMAN","Transient receptor potential cation channel subfamily M member 8","TRPM8 LTRPC6 TRPP8","TM(IC)",NA
"Q7Z3F1","LYCHS_HUMAN","Lysosomal cholesterol signaling protein","GPR155 PGR22","TM",NA
"Q7Z3T1","OR2W3_HUMAN","Olfactory receptor 2W3","OR2W3 OR2W3P OR2W8P","TM(GPCR)",NA
"Q7Z403","TMC6_HUMAN","Transmembrane channel-like protein 6","TMC6 EVER1 EVIN1","TM(IC)",NA
"Q7Z404","TMC4_HUMAN","Voltage-gated chloride channel TMC4","TMC4","TM(IC)",NA
"Q7Z418","KCNKI_HUMAN","Potassium channel subfamily K member 18","KCNK18 TRESK TRIK","TM(IC)",NA
"Q7Z429","LFG1_HUMAN","Protein lifeguard 1","GRINA LFG1 NMDARA1 TMBIM3","TM",NA
"Q7Z434","MAVS_HUMAN","Mitochondrial antiviral-signaling protein","MAVS IPS1 KIAA1271 VISA","TM",NA
"Q7Z442","PK1L2_HUMAN","Polycystin-1-like protein 2","PKD1L2 KIAA1879 PC1L2","TM(IC)",NA
"Q7Z443","PK1L3_HUMAN","Polycystin-1-like protein 3","PKD1L3","TM(IC)",NA
"Q7Z4J2","GL6D1_HUMAN","Putative glycosyltransferase 6 domain-containing protein 1","GLT6D1 GLTDC1 GT6M7","TM",NA
"Q7Z4N2","TRPM1_HUMAN","Transient receptor potential cation channel subfamily M member 1","TRPM1 LTRPC1 MLSN MLSN1","TM(IC)",NA
"Q7Z695","ADCK2_HUMAN","Uncharacterized aarF domain-containing protein kinase 2","ADCK2 AARF","TM",NA
"Q7Z6A9","BTLA_HUMAN","B- and T-lymphocyte attenuator","BTLA","TM",NA
"Q7Z6J6","FRMD5_HUMAN","FERM domain-containing protein 5","FRMD5","TM",NA
"Q7Z6M3","MILR1_HUMAN","Allergin-1","MILR1 C17orf60 MCA32","TM",NA
"Q7Z6W1","TMCO2_HUMAN","Transmembrane and coiled-coil domain-containing protein 2","TMCO2","TM",NA
"Q7Z7D3","VTCN1_HUMAN","V-set domain-containing T-cell activation inhibitor 1","VTCN1 B7H4 UNQ659/PRO1291","TM",NA
"Q86SK9","SCD5_HUMAN","Stearoyl-CoA desaturase 5","SCD5 ACOD4 SCD2 SCD4","TM",NA
"Q86SP6","GP149_HUMAN","Probable G-protein coupled receptor 149","GPR149 PGR10","TM(GPCR)",NA
"Q86T26","TM11B_HUMAN","Transmembrane protease serine 11B","TMPRSS11B HATL5","TM",NA
"Q86TL2","STIMA_HUMAN","Store-operated calcium entry regulator STIMATE","STIMATE TMEM110","TM",NA
"Q86TM6","SYVN1_HUMAN","E3 ubiquitin-protein ligase synoviolin","SYVN1 HRD1 KIAA1810","TM",NA
"Q86UE6","LRRT1_HUMAN","Leucine-rich repeat transmembrane neuronal protein 1","LRRTM1 UNQ675/PRO1309","TM",NA
"Q86UF2","CTGE6_HUMAN","cTAGE family member 6","CTAGE6 CTAGE6P","TM",NA
"Q86UG4","SO6A1_HUMAN","Solute carrier organic anion transporter family member 6A1","SLCO6A1 OATP6A1 SLC21A19","TM",NA
"Q86UP2","KTN1_HUMAN","Kinectin","KTN1 CG1 KIAA0004","TM",NA
"Q86UP9","LHPL3_HUMAN","LHFPL tetraspan subfamily member 3 protein","LHFPL3 LHFPL4","TM",NA
"Q86VF5","MOGT3_HUMAN","2-acylglycerol O-acyltransferase 3","MOGAT3 DC7 DGAT2L7 UNQ9383/PRO34208","TM",NA
"Q86VL8","S47A2_HUMAN","Multidrug and toxin extrusion protein 2/organic cation antiporter","SLC47A2 MATE2","TM",NA
"Q86VW1","S22AG_HUMAN","Solute carrier family 22 member 16","SLC22A16 OCT6","TM",NA
"Q86VZ1","P2RY8_HUMAN","S-geranylgeranyl-glutathione receptor P2RY8","P2RY8","TM(GPCR)",NA
"Q86W47","KCMB4_HUMAN","Calcium-activated potassium channel subunit beta-4beta-4","KCNMB4","TM(IC)",NA
"Q86WB7","UN93A_HUMAN","Protein unc-93 homolog A","UNC93A","TM",NA
"Q86WI0","LHPL1_HUMAN","LHFPL tetraspan subfamily member 1 protein","LHFPL1 UNQ5824/PRO19643","TM",NA
"Q86WK7","AMGO3_HUMAN","Amphoterin-induced protein 3","AMIGO3 ALI3 KIAA1851 UNQ6084/PRO20089","TM",NA
